detection_timestamp,confidence,event
2020-12-30 00:47:53.691000+00:00,0.571922183,Exit
2020-12-30 00:47:54.946000+00:00,0.672617257,Exit
2020-12-30 00:51:07.929000+00:00,0.728012204,Exit
2020-12-30 00:51:08.125000+00:00,0.754565656,Enter
2020-12-30 00:51:09.118000+00:00,0.703464806,Exit
2020-12-30 00:51:16.046000+00:00,0.623977005,Enter
2020-12-30 00:52:18.415000+00:00,0.629760921,Exit
2020-12-30 00:52:19.342000+00:00,0.690955937,Exit
2020-12-30 00:52:19.407000+00:00,0.605753183,Enter
2020-12-30 00:52:19.936000+00:00,0.605753183,Exit
2020-12-30 00:52:20.396000+00:00,0.681205153,Exit
2020-12-30 00:52:51.613000+00:00,0.707646072,Exit
2020-12-30 00:53:33.756000+00:00,0.681464136,Enter
2020-12-30 00:53:40.554000+00:00,0.742844462,Enter
2020-12-30 00:53:42.367000+00:00,0.698678195,Exit
2020-12-30 00:53:42.566000+00:00,0.715176105,Enter
2020-12-30 00:53:43.555000+00:00,0.712197483,Exit
2020-12-30 00:53:44.217000+00:00,0.73203218,Exit
2020-12-30 00:53:44.548000+00:00,0.675597131,Enter
2020-12-30 00:56:25.720000+00:00,0.532422423,Exit
2020-12-30 00:56:25.918000+00:00,0.664074779,Enter
2020-12-30 00:56:27.367000+00:00,0.645232856,Exit
2020-12-30 00:56:32.452000+00:00,0.570641041,Exit
2020-12-30 00:56:32.845000+00:00,0.702902198,Enter
2020-12-30 00:56:33.838000+00:00,0.711934507,Exit
2020-12-30 00:56:58.356000+00:00,0.717870593,Enter
2020-12-30 00:58:00.958000+00:00,0.716617703,Enter
2020-12-30 00:58:12.539000+00:00,0.661636472,Exit
2020-12-30 00:58:13.398000+00:00,0.661636472,Enter
2020-12-30 00:58:14.521000+00:00,0.750557542,Exit
2020-12-30 00:58:15.509000+00:00,0.693794727,Enter
2020-12-30 00:58:22.836000+00:00,0.681631982,Exit
2020-12-30 00:58:29.963000+00:00,0.676196516,Enter
2020-12-30 00:58:30.325000+00:00,0.685051262,Exit
2020-12-30 00:58:30.658000+00:00,0.711696744,Enter
